Shooter,Shots Attempted,qSI,qSI (sum),SSI Player ID
Bryce Thompson,169,7.69,1299.13,cc61028a-3c21-4917-a6fe-607bb4085636
Trhae Mitchell,167,-9.62,-1606.40,d98ecec8-9937-426e-ba9a-e019ec88d94f
Kameron Warrens,166,-2.99,-495.74,14a1175f-1e82-4a12-9edf-f9445dc58270
Tosan Evbuomwan,165,-6.83,-1127.04,3836af33-7171-4f6b-b4e3-7dc129d8efa6
Reece Beekman,165,-11.09,-1829.45,a419b920-f119-41d8-af53-47d3b49ea811
Romeo Weems,163,-10.84,-1766.99,9920a386-699e-42ad-90ac-8fb89d78d1f9
Paul Watson,162,0.50,81.71,1aae577a-f08a-437b-81ed-160d66e586b9
Toby Okani,161,-9.80,-1577.24,a6c4645d-9238-44cf-92aa-fd318ebb8ebf
Cameron McGriff,159,7.76,1233.28,55ec130c-b918-4d9b-9fe5-9b79a5f370f2
Jabri Abdur-Rahim,158,4.73,747.50,5ba18e46-b710-44bf-8369-1185adf0ce77
Gabe McGlothan,158,7.42,1171.92,32f54c28-47c6-4d3c-8364-c3956aef7190
DaRon Holmes II,157,-3.67,-575.42,33ee598f-dbec-467d-982c-9722af3b3261
Keshon Gilbert,156,-10.63,-1657.80,10762d58-0a4c-416e-8e01-0af744c29286
Phillip Wheeler,156,1.59,247.99,3d20e735-543b-415b-835b-fa80295fa157
Jameer Nelson Jr.,156,0.68,106.34,55218f5a-96d0-455d-953e-1af096389bc1
Desmond Cambridge,154,-5.70,-877.09,5f4ae0bb-b9a5-4c83-8441-1e627500c265
Aaron Scott,153,0.29,44.03,800b6f8d-e4b2-40c8-9891-40fa3f84efc3
Zyon Pullin,153,17.32,2650.63,21f03dac-c84d-48c5-80ce-a54781f63914
Steve Settle III,153,-3.14,-480.80,f52af8fd-29ee-4aa7-9c70-e211a5d73a12
KJ Simpson,152,-0.92,-140.21,1287087b-e6ba-41f9-b2b5-a3d2d1c8d682
Franco Miller, Jr.,152,-11.72,-1781.71,d681a7cd-c0ad-4497-975c-f750b762a74e
Matthew Cleveland,152,6.16,935.70,45913c55-0376-4b4f-9935-00471ffb3033
Elijah Harkless,150,3.11,465.86,629588b6-9560-45b9-ae52-ff90c299fc4d
Adama Bal,150,-6.08,-911.54,3559f9a3-9132-409e-a701-a4c5757cb325
Hunter Cattoor,150,8.33,1250.06,3b01bc5d-08ef-4a1a-afff-52c5c9f81849
Quincy Olivari,148,1.57,232.89,cbbbce73-763b-4e1d-820b-1b8f62857eaa
Chris Livingston,145,-9.92,-1437.79,f79d533e-f423-4752-a088-6d507d795bdb
Jeremiah Robinson-Earl,145,-1.58,-229.19,1a9ac6bd-8b02-4fe8-8096-c435a2a90100
Isaiah Crawford,144,6.18,889.89,cc5a020f-5862-494b-a997-26288b4f4f12
E.J. Liddell,142,-1.65,-233.87,f76c835b-10f6-42aa-aafe-3c87b5be8866
Cameron Hildreth,140,-0.49,-68.67,2c4cbc5a-83fe-4562-afdd-859499b77aa5
DJ Rodman,140,16.16,2262.96,18ec54f9-3c06-457d-a0c8-04f2aa513754
Adam Flagler,137,-1.40,-192.13,60b1ff6f-7e65-4d93-8b0b-fe76747cb0db
Jonathan Pierre,135,-3.02,-407.99,94306db4-8243-44b3-9f3e-eb1dd9e258b7
Donte Ingram,134,-5.41,-724.46,1034b6f9-7fc5-4f5f-94fa-2ab920658dd3
Rocco Zikarsky,134,1.66,222.51,7a36a328-5e4b-42b6-a21b-39e9f97e0188
Ben Saraf,134,-4.21,-564.79,f92bdf23-732f-412f-9b84-9c088cd9474b
Chucky Hepburn,134,1.13,152.03,4ac4a0ab-ea85-4870-8bd5-9670073a3df4
Craig Randall II,134,-0.46,-61.20,57c94d1b-101e-4b0a-afc5-d9716233e92d
Chris Manon,133,-7.52,-999.98,5dde0a80-753d-41a6-9ffa-6193317a3a17
Au'Diese Toney,132,11.44,1510.70,a127ee52-bbec-46b6-990c-93a2c3d57b87
Yuki Kawamura,132,-3.60,-475.36,3d921f8a-1119-4e42-be46-c22ae84d5f58
Dennis Smith Jr.,132,-10.68,-1409.73,4a0f330a-e571-48c4-a685-f82c9436c964
Jarron Cumberland,132,-8.46,-1116.48,46d86ca8-8056-40c4-8024-2ba83293aa17
Kevin McCullar Jr.,131,-4.71,-616.61,1ebb0958-b242-4b10-a0cb-cc3182f35814
Malevy Leons,130,0.70,91.46,a6b91d1a-7a93-4bda-8562-d762d1f5ad47
Igor Milicic, Jr.,129,-10.90,-1406.69,96e51137-1852-4b4b-8809-7d07d81b22a8
Dakota Mathias,128,16.89,2161.78,9f1f34c6-66d2-4093-9328-d2fffffb97d5
