Shooter,Shots Attempted,qSI (sum),SSI Player ID
D'Andre Davis,48,193.76,93c1ccb9-a43d-42a7-a037-b8d2057acc02
Aaron Scott,41,193.65,800b6f8d-e4b2-40c8-9891-40fa3f84efc3
Elijah Harkless,68,192.36,629588b6-9560-45b9-ae52-ff90c299fc4d
Ace Baldwin,8,190.78,6ab19369-4aa1-4aa6-8274-b595ac8902be
Matthew Moncrieffe,62,187.75,3d0d89b4-df1e-43a9-9870-4329d5e8161c
Christian Shumate,165,187.64,40ebb929-1947-4008-9cdc-046aa3a4bd87
Chucky Hepburn,26,181.42,4ac4a0ab-ea85-4870-8bd5-9670073a3df4
Trey Townsend,17,181.10,32735ab8-9eea-40c1-93be-395428840de8
DaJuan Gordon,129,179.39,b7cd24eb-bd7e-4dcc-99a2-7236606d1541
Symir Torrence,23,179.10,6779419d-662d-4a38-b2ea-cb8e012eed8f
Leaky Black,71,174.32,baf1b89d-5bf9-44d8-ae08-43b643b89914
Rahsool Diggins,8,174.20,6404e275-f55f-42e5-8d36-cddd1661c335
Javante McCoy,93,173.76,fac10e71-d936-4a9b-b017-2e3b743f9833
Ben Coupet Jr.,55,172.85,8c1d8070-eb6a-44ee-bc37-0a07ad5267fb
Tyler Kolek,13,171.64,40faa5df-7ced-449d-bd12-300a2938370a
Chaz Lanier,24,167.39,3ff2c55c-8857-4cde-85eb-a42b87da7dcd
Dakota Mathias,10,162.61,9f1f34c6-66d2-4093-9328-d2fffffb97d5
Emoni Bates,11,160.62,9f1d3f5e-1bf4-4a41-81f4-516081353643
Branden Carlson,11,160.43,c401774b-397d-4c15-93a0-592eb4752dac
Stanley Umude,97,157.47,73712bb9-3143-4176-8eb3-cef6d45e9f92
N'Faly Dante,5,156.31,d6eaf02a-27a0-4e40-8641-632e8d39f965
Cody Williams,14,156.23,8b49e58d-df58-4e21-b984-2bda3ce246e6
Jamal Cain,31,154.94,f42a8b63-1ab4-447f-b74f-be293fc58e99
Jacob Toppin,25,154.12,9e0abf37-2963-4f62-b8f7-104fefa58273
LJ Cryer,14,152.78,51c89cc1-c192-4e07-878a-436ad5c2c70a
Omer Yurtseven,26,152.68,6811ad75-3527-4bfc-b0bc-8fd46ec62535
Olivier-Maxence Prosper,18,149.84,28df8a9e-306a-47ee-bb0e-55b9ea87d542
Warith Alatishe,138,147.33,ef3f7448-40b8-4701-8feb-456aaa4d1c6e
DJ Rodman,23,146.79,18ec54f9-3c06-457d-a0c8-04f2aa513754
Oscar Tshiebwe,133,143.86,9234048a-d7a7-4f77-8d48-3b95b6365ae0
Colby Jones,22,143.17,80ea0675-30db-4ebf-b37f-eb50552e8d0e
Jordan Bell,15,140.01,07a35d50-2dd1-4476-a9ac-b6e7154ce069
Terrence Shannon Jr.,4,138.44,94d35dd4-a4fe-47ae-a856-cd0d5b1193a9
Nate Santos,60,138.33,5d98e4d9-9d4c-416e-896e-662ef6de036b
Nique Clifford,4,136.76,329049aa-89c8-439b-a0c3-dc93d3609931
Cameron Matthews,223,134.25,2b3321e5-dc2b-4c37-9ee5-36336690c3ec
Hunter Sallis,109,133.83,6d6c60fb-827b-4b00-9033-8fb8a4fb0f32
Miles Kelly,65,132.63,8e41f240-6f89-4f54-bcc5-534112efd3c2
Dalton Knecht,21,129.78,b8da7ce7-11b7-4a94-acd4-f309bf4b6333
Cameron McGriff,54,124.65,55ec130c-b918-4d9b-9fe5-9b79a5f370f2
JaQuori McLaughlin,22,123.45,a05930e9-6846-4c42-b5d6-f859b92d97fd
Reynan dos Santos,45,123.03,e3cdc093-14ad-4686-ade9-7fc70c5a5a88
Brandon Slater,22,121.90,eb81af0f-e8c9-4a55-a018-bb56cbc130ff
Sean McDermott,67,121.31,b5d46463-618d-4328-a3ac-31239ed7af7e
Lance Terry,18,120.70,2c5a45b8-029d-4556-9186-221becde7ae7
Johnell Davis,36,119.44,7ddd09bd-a98c-468f-ac39-239c33fe8d79
Dylan Cardwell,71,116.40,fb79aa4f-8468-454c-80db-1768d95b4e42
Nolan Hickman,47,115.46,b8b01afe-00df-407e-b0ee-229eacce163c
Zeke Mayo,38,115.27,2aa9c687-ca9d-4478-a2c7-8f2797b308b2
